node2,node4,node5,node3,node6
2120,2396,2074,1460,2294
2120,2396,2191,1568,2069
2120,2396,2074,1568,2186
2120,2396,2299,1568,1961
2120,2443,2027,1460,2294
2073,2443,2074,1460,2294
2120,2443,2074,1460,2247
2228,2335,2299,1568,1961
2120,2443,1966,1568,2294
2073,2443,2074,1568,2186
2120,2443,2027,1568,2186
2228,2443,2074,1568,2078
2073,2443,2191,1568,2069
2073,2443,2299,1568,1961
2120,2443,2144,1568,2069
2120,2443,2252,1568,1961
2120,2443,2191,1568,2022
2120,2443,2299,1568,1914
2228,2443,2299,1568,1853
2073,2276,2133,1568,2294
2073,2384,2358,1568,1961
2181,2384,2358,1568,1853
2120,2229,2133,1568,2294
2228,2337,2358,1568,1853
2120,2337,2358,1568,1961
2228,2276,2358,1568,1961
2228,2384,2311,1568,1853
2228,2384,2133,1568,2078
2228,2384,2250,1568,1961
2228,2384,2358,1460,1961
2120,2276,2133,1568,2247
2120,2276,2086,1568,2294
2228,2276,2025,1568,2294
2120,2384,2311,1568,1961
2120,2384,2358,1568,1914
2120,2384,2133,1460,2294
2120,2384,2025,1568,2294
2120,2384,2133,1568,2186
2228,2384,2025,1568,2186
2228,2384,2025,1460,2294
2228,2384,2133,1460,2186
2228,2335,2250,1568,2010
2228,2335,2133,1401,2294
2228,2335,2133,1460,2235
2228,2335,2358,1460,2010
2228,2335,2358,1401,2069
2228,2335,2133,1568,2127
2228,2335,2358,1509,1961
2120,2335,2358,1568,2010
2228,2335,2358,1568,1902
2228,2443,2133,1460,2127
2228,2443,2358,1460,1902
2228,2443,2358,1401,1961
2228,2443,2133,1401,2186
2228,2443,2133,1293,2294
2228,2443,2358,1293,2069
2228,2443,2250,1401,2069
2228,2443,2025,1401,2294
2228,2443,2250,1460,2010
2228,2443,2025,1460,2235
2228,2443,2133,1352,2235
2228,2443,2358,1352,2010
2228,2443,2133,1568,2019
2228,2443,2133,1509,2078
2228,2443,2358,1568,1794
2228,2443,2358,1509,1853
2228,2443,2025,1568,2127
2120,2443,2133,1568,2127
2228,2443,2025,1509,2186
2120,2443,2133,1509,2186
2228,2443,2250,1568,1902
2120,2443,2358,1568,1902
2228,2443,2250,1509,1961
2120,2443,2358,1509,1961
2228,2443,1917,1509,2294
2228,2443,2142,1509,2069
2228,2443,1917,1568,2235
2228,2443,2142,1568,2010
2120,2443,2133,1401,2294
2120,2443,2133,1460,2235
2120,2443,2025,1509,2294
2120,2443,2025,1568,2235
2120,2443,2250,1509,2069
2120,2443,2250,1568,2010
2120,2443,2358,1460,2010
2120,2443,2358,1401,2069
1944,2443,2036,1568,2353
1944,2443,2144,1568,2245
1944,2443,2252,1568,2137
2003,2443,2252,1401,2245
1895,2443,2252,1509,2245
2003,2384,2191,1568,2245
1944,2396,2191,1568,2245
1944,2443,2191,1568,2198
2003,2443,2191,1509,2245
1897,2443,2191,1568,2245
1944,2396,2083,1568,2353
2003,2384,2083,1568,2353
1944,2443,2083,1568,2306
2003,2443,2083,1509,2353
1897,2443,2083,1568,2353
2003,2384,2191,1460,2353
2003,2443,2191,1401,2353
1895,2443,2191,1509,2353
1944,2443,2191,1460,2353
1836,2443,2191,1568,2353
1944,2396,2299,1568,2137
2003,2396,2299,1401,2245
1895,2396,2299,1509,2245
1944,2443,2299,1352,2353
2003,2384,2299,1460,2245
2003,2443,2299,1401,2198
1956,2443,2299,1401,2245
1895,2443,2299,1401,2353
1836,2443,2299,1460,2353
2003,2276,2299,1460,2353
1944,2335,2299,1460,2353
