query,times,mean
q1,4,439.304
q2,25,6763.725
q3,1,187.526
q4,3,462.663
q5,1,265.131
q6,1,55.935
q7,1,276.943
q8,1,322.983
q9,1,299.077
q10,1,210.24
q11,1,206.205
q12,1,149.663
q13,22,2493.876
q14,3,339.738
q15,1,262.25
q16,37,6604.463
q17,1,267.407
q18,2,599.728
q19,23,2460.701
q20,11,2714.151
q21,1,522.638
q22,1,153.247

