query,times,mean
q1,4,446.236
q2,25,6717.4
q3,1,188.915
q4,3,462.885
q5,1,264.574
q6,1,56.011
q7,1,275.668
q8,1,324.594
q9,1,298.559
q10,1,211.059
q11,1,205.909
q12,1,149.147
q13,22,2508.594
q14,3,338.481
q15,1,262.619
q16,37,6603.797
q17,1,267.232
q18,2,599.582
q19,23,2469.74
q20,11,2746.007
q21,1,515.019
q22,1,150.212

