query,times,mean
q1,4,455.46
q2,25,6782.825
q3,1,189.537
q4,3,467.259
q5,1,266.882
q6,1,59.006
q7,1,305.449
q8,1,347.401
q9,1,323.926
q10,1,222.59
q11,1,215.455
q12,1,157.461
q13,22,2575.606
q14,3,360.759
q15,1,276.473
q16,37,6633.952
q17,1,268.745
q18,2,622.584
q19,23,2619.953
q20,11,2865.368
q21,1,543.042
q22,1,157.539

